,0,1,gold_simple
831,mechanism,formal mechanism,0
832,sand,land,1
833,the vicinity,surroundings,1
834,hostel,dorm,1
835,vegetable,these plants,1
837,this area,territory,0
838,producing,produce,1
839,unanimously,unanimous,1
840,weightlifting,lifting,1
842,irritated,angered,1
843,outlets,department stores,1
844,zip,postal code,0
846,impress,impact,0
847,cesar,caesar 's,1
848,exits,a way out,0
850,scriptures,religion,1
851,fight back,combating,0
852,presents,broadcasts,1
853,clinical,clinic,1
854,magnificent,lavish,1
855,fierce,cruel,1
856,toenails,nails,1
857,recognises,honors,1
859,might,it possible,0
860,observed,be followed,1
861,was declared,declares,1
862,the east,southeast,0
863,the boom,expansion,0
864,union,confederation,0
865,well-off,thriving,0
866,shooting,hunting,1
867,max,a maximum,0
868,proactively,actively,1
869,their full development,maturity,1
870,husbands,a man,1
871,rejected,opt out,0
872,internal use,internal,1
873,the united states,state,0
874,scale,a broader scale,0
875,freedom of press,freedom,1
876,alternative,all other,1
877,with us,together,1
878,town,the city,1
881,woodland,the woods,1
882,six,6th,0
884,rose,are increasing,1
888,marbled,marble,1
889,away,a long way,1
890,the substance,material,1
892,changed,'ve changed,0
894,spark,kindle,0
895,someone,a patient,0
896,chambers,cavities,1
897,take them,picked,1
900,the seat belt,belt,1
901,honors,acknowledgements,0
905,left,leave him,0
907,turned back,returned,0
908,lynne,lynn,1
909,facilities,a site,1
910,known,aware of,0
912,wear glasses,glasses,1
913,your skull,brains,1
914,wonders,called into question,0
915,sheriff,sherif,1
916,turned back,reversed,0
917,elementary school,elementary,0
918,us department of defense,pentagon,0
919,plains,meadows,1
922,surfing,browsing,1
924,teachers,profs,0
925,village,small towns,0
926,the vehicles,spacecraft,1
928,the sample,specimen,0
929,investors ',investments,1
930,produce,food production,0
931,puff,breath,1
932,high-level,high-calibre,0
934,ties,binds,0
935,saying that,asked,0
936,the customer,patrons,0
937,hungarian-speaking,hungarian,1
940,modified,as amended,0
941,1974,1973,1
942,slowed,'s slowing down,0
943,envelopes,enclosures,0
944,sleep,go to sleep,0
945,board,billboard,0
946,positions,an opinion,1
948,spark,evoke,0
949,sheriff,a town marshal,0
950,the prosecution 's,indictment,0
951,the woods,forests,1
953,evaluated,are assessed,0
954,the owner,landlords,0
955,vehicle,van,1
956,plagued,crippled,1
957,hometown,city,1
958,time to time,regular,1
959,strikingly,remarkably,1
960,the israeli tanks,tanks,1
961,that data,database,0
962,police officers,officer,1
963,the lawyer,prosecutor,0
964,long,a long way,0
965,functions well,functioning,1
966,with,accompanied by,0
967,zippers,closings,0
969,to act,action,0
971,smallest,relatively small,0
972,notices,can see,1
973,has come,arrive,0
974,succeeds,is to be successful,0
975,declared,announcements,1
976,dorm,bedroom,1
977,the executive,ceo,0
978,some form,mode,0
979,searches,finds,1
980,health problems,disorders,0
981,village,homes,1
982,packets,envelopes,0
983,views,the opinions,1
984,allies,allied forces,0
985,program guidelines,guides,1
987,self-employed people,independents,1
988,life sciences,biotechnology,0
989,leaving,leave him,0
990,useful to,handy,1
992,reads,a reading,1
993,time to time,ongoing,0
995,disquiet,discomfort,1
996,noted that,mentioned,1
997,motor vehicles,machines,1
1000,met,has reached,0
1004,researches,health researchers,0
1005,chief,a president,1
1006,property,a site,1
1007,the liberty,flexibility,1
1009,very considerably,dramatically,0
1010,tumors,cancers,1
1013,pleased,happiest,1
1014,threatening,intimidate,0
1015,murder,killer,1
1016,fudge,cocoa,1
1017,police officers,officers,1
1018,hit it,blow,0
1020,raven,crow,1
1021,super,a great idea,0
1023,supposedly,seemingly,0
1024,raises,are increasing,0
1026,kept,be preserved,0
1027,standards,rules and regulations,1
1028,who,people are,1
1029,tall,rather large,0
1030,very strong,significant,0
1032,loads,a huge amount,1
1033,shady,murky,0
1034,the positions,opinions,1
1036,the biotechnology industry,biotechnology,1
1037,old people,adults,0
1039,the shells,cartridges,0
1040,larger-scale,large-scale,1
1041,kelley,'kelly,1
1042,signpost,direction,1
1043,microfungi,fungal,1
1044,work in practice,functioning,0
1045,get dressed,changed,1
1046,well-off,better off,1
1047,picture,filming,0
1048,the ambition,greed,1
1049,dressing,dresses,1
1051,persons deprived of their liberty,custody,1
1052,the opportunities,potential,0
1053,farmland,farmers ',1
1054,to teach,teaching,1
1057,switches,changing,1
1058,robe,dresses,1
1059,basis,are based,1
1060,those investigations,researches,1
1063,prom,cotillion,0
1064,my mind,brains,1
1065,my mother,motherhood,0
1066,property,estate,0
1068,wear,have on,0
1069,shady,disreputable,0
1070,deficits,budget deficits,1
1071,full-scale,full-fledged,1
1072,rushing,hurrying,1
1074,determination,committed,1
1075,slab,marble,1
1076,was saying,suggested,0
1078,their education,educational,1
1079,wounded,'re wounded,0
1081,is a problem,challenge,0
1082,the stress,strains,1
1085,plains,plain,1
1086,slack,lax,0
1087,redhead,red,1
1088,improve,getting better,1
1089,fight back,combat,0
1090,typhoon,hurricane,1
1093,expects,count on,1
1094,heavily armed,armed,1
1095,the marshal,sheriff,1
1096,workaround,solution,1
1097,strap,harness,0
1100,such functions,functioning,1
1101,the funding,fund,1
1102,were thinking,imagined,0
1103,loading,downloading,1
1104,the behavior,act,0
1105,caregiver,attendant,0
1106,village,hamlet,0
1108,the year,1984,0
1109,just as well,equally,0
1112,the contaminants,contamination,1
1113,was identified,determined,0
1115,records,observes,0
1116,safeguarding,custody,1
1117,the footsteps,steps,1
1118,grownups,grown-ups,1
1119,great,a great idea,0
1120,wearing,have on,1
1121,guides,guidebooks,1
1123,observers,an observation,0
1124,the origin,source,1
1125,the crowds,masses,0
1127,the customer,consumer,0
1128,came through,arrived,1
1129,delivers,are offering,1
1130,gone down,gone,1
1132,the studies,researches,1
1133,changing,alters,0
1134,roundup,recap,1
1136,are analysed,analyze,1
1137,everywhere,all around,1
1138,vaccine,measles vaccine,0
1139,ways and means,ability,0
1141,were built,completed,0
1142,preparing for,prepares,1
1143,presentations,a narrative,0
1145,thinks,imagines,0
1147,the performance,demonstrations,0
1148,thinking,minds,1
1150,u.s,american states,0
1151,bumblebees,bees,1
1152,step forward,progresses,0
1153,significantly,more strongly,1
1155,mr. anderson,anderson,1
1156,prepare,drew up,1
1157,privacy,personal information,0
1158,vegetables,vegetable,1
1159,pretending,FALSE,1
1160,predicts,expects,1
1162,"well , jackie",jackie,1
1164,is worsening,degrade,0
1165,repaired,is restored,0
1166,officials,government,1
1167,the deceased,late,1
1168,routine,day-to-day,0
1169,unlock,are opened,0
1170,overly,exaggeratedly,0
1171,killer,deadly,1
1172,paths,path,1
1173,models,modeling,1
1174,wildfire,the fires,1
1175,to grow,grown,1
1177,presidential,a president,1
1178,the company 's,inc.,0
1179,overpowered,overcame,1
1180,number,a figure,0
1181,the district,territory,1
1182,received,be offered,0
1183,advisory,advisors,1
1184,pathogenicity,pathogen,1
1186,twinkies,cakes,1
1187,the executive,administrative,1
1188,strike,hit it,1
1189,to remain,retain,0
1190,is applied,application,0
1191,so pleased,happiest,1
1193,growing,are increasing,0
1194,periodically,periodic,1
1195,the house,parliament,0
1196,thinks,guess so,1
1197,treasures,appreciates,1
1198,the goal,outcome,0
1199,fight back,confront,0
1200,simplified,most simple,1
1201,shady,dubious,0
1202,participate,be involved in,0
1204,studies and research,researches,1
1205,shelf-life,lifespan,1
1207,the sample,examples,1
1209,columbian,colombian,1
1210,discontent,discomfort,1
1211,ruins,remainders,0
1212,lofty,distinguished,1
1213,wounded,getting hurt,1
1214,hit,getting hurt,0
1216,high-end,high,1
1217,stand alone,independent,1
1218,look at,analyze,0
1220,was falling,declines,0
1222,was identified,observed,1
1223,using it,employ,0
1224,closures,closings,1
1225,hungry,go hungry,0
1226,the executive,administration,1
1227,landowner,landlady,1
1228,the substance,matter,0
1229,skill,knack,0
1230,the topic,subject,1
1231,the united states,states,1
1234,caroline lucas,caroline,1
1235,thrilled,good to meet you,0
1236,saturated,oversupplied,1
1237,ramps,overpasses,0
1238,the instructions,instruction,1
1239,lynne,lyne,1
1241,the same way,same,1
1242,shoppers,a customer,0
1244,community groups,communities,1
1245,finishes,are done,1
1246,stood,advocated,0
1248,deserts,desert,1
1249,tracking down,find,1
1250,high-profile,high-level,1
1251,certain components,aspects,1
1252,expropriated,confiscated,1
1253,going away,goes,1
1256,the vehicles,auto,1
1257,other issues,matters,1
1258,erase,cancel,1
1259,very surprised,amazed,0
1260,do something,did,1
1261,ingredients,food additives,0
1262,rachel,rach,1
1264,provisional,makeshift,1
1265,histories,historically,0
1266,revitalise,energize,1
1267,has created,causes,1
1269,decreasing,are shrinking,1
1270,competence,ability,1
1272,the strong,power,1
1274,the music,musicians,0
1275,old people,elders,0
1276,toys,children 's toys,0
1277,sensors,detected,1
1278,to remain,maintain,0
1279,women and men,gender,0
1280,man-made,artificial,0
1281,too low,lower,1
1282,trafficking,hawking,1
1283,very few,fewer,1
1284,taiwanese,taiwan residents,0
1285,its goal,aim,0
1286,those components,ingredients,1
1287,goes through,accepted,0
1288,new jersey,n.j.,0
1289,the east,eastern,0
1290,everything,all around,0
1292,the department,administration,0
1293,resting,get some rest,1
1296,was declared,announces,1
1297,has come,arriving,0
1298,union,council,0
1302,improve,are increasing,0
1303,nourishment,food production,1
1304,spite,hate,1
1305,is ok,correct,0
1306,wonders,wonderful,0
1307,determined,defined as,1
1308,saturdays,sat,0
1309,wounded,deaths and injuries,1
1310,obtain,get them,1
1311,seeming,pretending,0
1312,the leisure,recreational,1
1313,bulk,a majority,0
1314,negotiate,coordinate,1
1316,make decisions,decision-making,0
1317,74,1974,1
1319,dodge,avoiding,1
1320,young man,son,1
1321,intended to,expected,1
1322,pretending,pretend,1
1323,generate,evoke,1
1324,fiery,fervent,0
1326,facilitators,advocates,1
1327,goes through,conducted,0
1328,my mother,moms,1
1329,leave,give up on,0
1330,were saved,rescued,0
1331,strangers,alien,0
1333,its goal,achieving,0
1334,re-election,his election,1
1335,to be reduced,decreasing,0
1336,well-prepared,preparatory,0
1337,shunned,should be dismissed,1
1338,livestock farming,farm,1
1339,will provide,deliver,1
1340,really happy,happiest,0
1341,thawed,melted,1
1342,some form,shape,1
1343,surfing,surf,1
1344,the suspicions,skepticism,0
1345,detailed arrangements,conditions,1
1346,independents,independence,1
1347,sought out,search,1
1348,ready-to-eat,ready,1
1349,the deficits,shortfalls,1
1354,my children,daughter,0
1355,to show,displayed,0
1357,triggered,brought about,1
1358,good enough,ample,0
1359,musicians,musical works,0
1361,the elements,conditions,1
1362,settlements,residential areas,1
1363,the entrance,access,0
1364,playback,a reading,1
1365,limits,a maximum,0
1366,tail,rear,0
1368,pentagon,military,1
1369,57,1957,1
1371,have n't,don't,1
1372,the behavior,conduct,0
1373,tell,saying that,1
1374,sorts,arranges,0
1375,petition,complaint,1
1376,measure,gauges,0
1377,the procedure,methods,1
1378,countries,a nation,0
1379,village,population,0
1380,the positions,attitudes,0
1381,auto,a motor vehicle,0
1383,would say,responded,0
1384,land,farmland,0
1385,piles,a pile,1
1387,the living,quarters,1
1388,the philippines,filipino,0
1389,transmitting,transferring,1
1390,real estate,properties,0
1392,supporting,protecting,1
1393,temptation,lure,1
1394,that girl,rachel,0
1395,receive,be issued,0
1396,degrade,decompose,1
1397,husbands,consumer-husbands,0
1398,the 1970s,1973,1
1400,setup,is set,0
1401,being,are now,1
1402,read,a reading,0
1403,mummy,mom 's,1
1404,mission,is tasked,0
1405,overly,grossly,0
1408,promotions,promoters,1
1409,there are,including,0
1410,home,dorm,0
1412,statesman,politician,1
1413,investments,investment opportunities,0
1415,to start,initiate,0
1416,the protection of,securing,0
1417,was identified,discover,1
1418,simplified,more simple,1
1419,the vicinity,location,1
1420,teenage,18-year-old,0
1421,high-grade,high-end,1
1422,re-election,re-appointment,0
1423,waste,the garbage,1
1425,patrons,crowds,1
1426,shortfalls,insufficient,0
1427,walk out,escape,1
1428,skepticism,disbelief,1
1429,shortlists,rosters,1
1430,hum,hmm,1
1433,might think,imagined,0
1434,rage,outrage,0
1435,distress,discomfort,1
1436,things,that stuff,0
1437,toys,play,1
1438,pretended,faked,1
1439,angry,angered,1
1441,moms,mom 's,1
1443,indictment,indictee,1
1445,reviewed,be considered,1
1447,sections,a branch,1
1448,the garbage,littering,0
