majority,total,x,y,gold
4,7,driven,'m,"turkers=""driven"""
7,7,unexpended,odd,"turkers=""odd"""
7,7,rehabilitation,rehabilitation,"turkers=""NA"""
6,7,seamless integration,complement,"turkers=""complement"""
7,7,synergy,complement,"turkers=""complement"""
7,7,queer,odd,"turkers=""odd"""
7,7,conjugate verbs,compose,"turkers=""compose"""
6,7,thought,cerebrate,"turkers=""thought"""
4,7,formulated,adhered,"turkers=""formulated"""
7,7,persecution,conclusion,"turkers=""conclusion"""
3,7,congratulate,complement,"turkers=""complement"""
5,7,braveries,battlefields,"turkers=""battlefields"""
7,7,there,resting,"turkers=""there"""
4,7,worrisome,troubling,"turkers=""troubling"""
7,7,perfectly complements,complement,"turkers=""complement"""
7,7,tissue hypoxia angiogenesis,markers,"turkers=""markers"""
4,7,grants,grant,"turkers=""NA"""
7,7,atomic reactors,atomic,"turkers=""atomic"""
6,7,historically-driven,driven,"turkers=""driven"""
6,7,uncertainty,cautious optimism,"turkers=""uncertainty"""
7,7,determinations,decisions,"turkers=""decisions"""
6,7,produce,empowered,"turkers=""produce"""
7,7,disturbs,agitated,"turkers=""disturbs"""
5,7,scouting,scout,"turkers=""scout"""
7,7,wave,wafture,"turkers=""wave"""
5,7,rehabilitation,a,"turkers=""a"""
7,7,them,complement,"turkers=""them"""
6,7,trouble,alarmed,"turkers=""trouble"""
6,7,profiling,picture,"turkers=""picture"""
3,7,driven,determined,"turkers=""driven"""
7,7,implicates,accuse,"turkers=""accuse"""
4,7,worrisome,alarming,"turkers=""alarming"""
4,7,requirement,authorities,"turkers=""requirement"""
4,7,mistrusting,mistrust,"turkers=""mistrust"""
6,7,minimize,constrained,"turkers=""minimize"""
7,7,worrisome,perturbing,"turkers=""worrisome"""
6,7,labored,driven,"turkers=""driven"""
5,7,simulate,mimic,"turkers=""mimic"""
4,7,recall,callback,"turkers=""callback"""
5,7,complement,broaden,"turkers=""broaden"""
5,7,thermal,genuine,"turkers=""genuine"""
6,7,vexing,sticking,"turkers=""sticking"""
6,7,interest,essential,"turkers=""interest"""
5,7,scars,expressions,"turkers=""scars"""
7,7,odd,curious,"turkers=""odd"""
3,7,requirement,instructions,"turkers=""requirement"""
6,7,realizability,determinations,"turkers=""determinations"""
3,7,representation,expressions,"turkers=""representation"""
7,7,offer,empowered,"turkers=""offer"""
7,7,quam hk limited,endeavor,"turkers=""endeavor"""
5,7,staple,essential,"turkers=""staple"""
7,7,sayings,expressions,"turkers=""sayings"""
6,7,thought,opine,"turkers=""thought"""
4,7,raw,natural,"turkers=""raw"""
6,7,standard,circumstances,"turkers=""standard"""
5,7,impose,implicates,"turkers=""impose"""
5,7,factual determinations,determinations,"turkers=""determinations"""
5,7,encumbered,constrained,"turkers=""constrained"""
6,7,max booking,essential,"turkers=""essential"""
7,7,trouble,disturbs,"turkers=""trouble"""
6,7,implicates,associate,"turkers=""associate"""
7,7,complement,complement,"turkers=""NA"""
4,7,diminish,constrained,"turkers=""diminish"""
7,7,entity,animal,"turkers=""animal"""
4,7,impor tant,essential,"turkers=""impor tant"""
4,7,crimped,constrained,"turkers=""crimped"""
6,7,the,choice,"turkers=""the"""
7,7,fill,complement,"turkers=""fill"""
7,7,purpose,expressions,"turkers=""purpose"""
6,7,fit,complement,"turkers=""fit"""
4,7,vital,essential,"turkers=""vital"""
6,7,indispensable,essential,"turkers=""essential"""
5,7,pinned,hav pinned,"turkers=""pinned"""
5,7,right,holder,"turkers=""right"""
3,7,implicates,absolves,"turkers=""implicates"""
5,7,incorporate,complement,"turkers=""complement"""
3,7,option,choice,"turkers=""NA"""
6,7,uneven,odd,"turkers=""odd"""
6,7,very,likable,"turkers=""very"""
7,7,thought,meme,"turkers=""thought"""
3,7,discriminate,constrained,"turkers=""constrained"""
7,7,complement,be,"turkers=""be"""
4,7,sticking,relieving,"turkers=""sticking"""
7,7,standard,en iso #####-#,"turkers=""standard"""
6,7,intention,determinations,"turkers=""intention"""
4,7,keen,acute,"turkers=""keen"""
5,7,stipulating,requirement,"turkers=""requirement"""
5,7,very,odd,"turkers=""odd"""
7,7,fits,complement,"turkers=""fits"""
7,7,prevent,empowered,"turkers=""prevent"""
3,7,uneasiness,uncertainty,"turkers=""uneasiness"""
7,7,xxxi adverse tax,determinations,"turkers=""determinations"""
4,7,urgently needed,essential,"turkers=""urgently needed"""
7,7,pre requisite,essential,"turkers=""essential"""
4,7,prize,choice,"turkers=""prize"""
7,7,promulgated,formulated,"turkers=""formulated"""
5,7,dovetail,complement,"turkers=""complement"""
6,7,pose,compose,"turkers=""pose"""
3,7,requirement,mandate,"turkers=""requirement"""
6,7,appal,alarmed,"turkers=""alarmed"""
6,7,atomic,atom,"turkers=""atom"""
7,7,profiling,file,"turkers=""file"""
3,7,odd,little,"turkers=""NA"""
7,7,wave,inland decimating,"turkers=""wave"""
5,7,perfected,'re,"turkers=""perfected"""
4,7,wrote,thought,"turkers=""wrote"""
4,7,availablenes,accessibility,"turkers=""availablenes"""
3,7,furthering,broadening,"turkers=""broadening"""
6,7,constrained,connect,"turkers=""connect"""
7,7,thought,over-simplification,"turkers=""thought"""
3,7,implicates,correlate,"turkers=""NA"""
4,7,shopability,accessibility,"turkers=""accessibility"""
7,7,ineligible,for,"turkers=""for"""
5,7,constrict,constrained,"turkers=""constrict"""
5,7,thought,intend,"turkers=""thought"""
7,7,insulting,affront,"turkers=""insulting"""
5,7,lands,grants,"turkers=""lands"""
4,7,dissappointment,disappointment,"turkers=""NA"""
6,7,sticking,kick,"turkers=""kick"""
6,7,inescapable conclusion,conclusion,"turkers=""conclusion"""
4,7,lament,keen,"turkers=""keen"""
7,7,subduction,earthquake,"turkers=""earthquake"""
7,7,standard,itu g.###,"turkers=""standard"""
6,7,escape,elude,"turkers=""escape"""
7,7,rail,inveigh,"turkers=""rail"""
4,7,trader,bargain,"turkers=""trader"""
7,7,escape,come,"turkers=""come"""
3,7,opportunity,empowered,"turkers=""opportunity"""
5,7,rehabilitation,controversy,"turkers=""controversy"""
5,7,unfeigned,expressions,"turkers=""expressions"""
6,7,write,compose,"turkers=""write"""
7,7,waned,slowed,"turkers=""slowed"""
7,7,theological virtues,expressions,"turkers=""expressions"""
4,7,pleasing,eye catching,"turkers=""pleasing"""
5,7,elaboration,amplification,"turkers=""elaboration"""
5,7,requirement,mandates,"turkers=""requirement"""
7,7,pacific,mangaia,"turkers=""pacific"""
7,7,spirit,entity,"turkers=""spirit"""
6,7,uncertainty,murkiness,"turkers=""uncertainty"""
5,7,intimidate,constrained,"turkers=""intimidate"""
6,7,driven,bolstered,"turkers=""driven"""
3,7,implicates,contradicts,"turkers=""contradicts"""
5,7,likeable,likable,"turkers=""NA"""
5,7,battles,battlefields,"turkers=""battles"""
4,7,expressions,aspects,"turkers=""aspects"""
7,7,pen,compose,"turkers=""pen"""
5,7,rearing,breeding,"turkers=""breeding"""
6,7,entity,called fintage licensing,"turkers=""entity"""
7,7,zixcorp esecure services,driven,"turkers=""driven"""
6,7,sticking,ditching,"turkers=""sticking"""
6,7,postulate,implicates,"turkers=""implicates"""
5,7,natural,innate,"turkers=""natural"""
7,7,likable,appealing,"turkers=""likable"""
5,7,inwards,entrails,"turkers=""inwards"""
5,7,implicates,acquits,"turkers=""implicates"""
5,7,hitler,democrate,"turkers=""hitler"""
7,7,uniformly,evenly,"turkers=""evenly"""
3,7,odd,famous,"turkers=""odd"""
5,7,wariness,uncertainty,"turkers=""uncertainty"""
5,7,requirement,provisions,"turkers=""requirement"""
6,7,efficient,an,"turkers=""an"""
7,7,the,rail,"turkers=""the"""
7,7,wave,beckon,"turkers=""wave"""
6,7,stop,sticking,"turkers=""stop"""
4,7,cooperate,complement,"turkers=""cooperate"""
7,7,prepare,formulated,"turkers=""prepare"""
6,7,rehabilitation,rehabilitaion,"turkers=""NA"""
3,7,refinement,elaboration,"turkers=""elaboration"""
6,7,structural imbalance,imbalances,"turkers=""imbalances"""
5,7,seeming,professing,"turkers=""seeming"""
3,7,complement,commission,"turkers=""complement"""
4,7,consist,complement,"turkers=""consist"""
7,7,encyclopedia,edition,"turkers=""edition"""
5,7,possibility,hypothesis,"turkers=""possibility"""
6,7,diversify,broadening,"turkers=""broadening"""
7,7,standard,open,"turkers=""open"""
6,7,important,economic,"turkers=""important"""
6,7,information,expressions,"turkers=""information"""
6,7,support,complement,"turkers=""support"""
6,7,implicates,culpable,"turkers=""implicates"""
3,7,untouched,unexplored,"turkers=""untouched"""
7,7,determinations,credibility determinations,"turkers=""determinations"""
7,7,notifying,anthrax culled,"turkers=""notifying"""
4,7,reinforce,complement,"turkers=""complement"""
7,7,standard,rule,"turkers=""rule"""
7,7,jirga,conclusion,"turkers=""conclusion"""
3,7,railroad,rail,"turkers=""railroad"""
4,7,overly meddlesome,constrained,"turkers=""constrained"""
7,7,invented,formulated,"turkers=""invented"""
5,7,grants,approve,"turkers=""approve"""
6,7,final,conclusion,"turkers=""final"""
5,7,ineligible,academically eligible,"turkers=""ineligible"""
6,7,pleasing,creating,"turkers=""pleasing"""
4,7,enhance,complement,"turkers=""complement"""
5,7,training,breeding,"turkers=""training"""
5,7,violate,constrained,"turkers=""violate"""
4,7,elaboration,clarifications,"turkers=""clarifications"""
7,7,formulated,confirm,"turkers=""confirm"""
7,7,entail,complement,"turkers=""complement"""
3,7,comply,complement,"turkers=""complement"""
7,7,organize,formulated,"turkers=""organize"""
7,7,contextualize,compose,"turkers=""compose"""
7,7,stop,constrained,"turkers=""stop"""
4,7,restrictions,requirement,"turkers=""requirement"""
3,7,resemble,mimic,"turkers=""mimic"""
7,7,variant,edition,"turkers=""edition"""
5,7,racial profiling,profiling,"turkers=""profiling"""
5,7,trade-off,determinations,"turkers=""trade-off"""
5,7,perception,determinations,"turkers=""perception"""
3,7,unparalleled,uncompromised,"turkers=""unparalleled"""
6,7,interference,constrained,"turkers=""interference"""
7,7,suggested,hypothesis,"turkers=""suggested"""
3,7,rebuts,implicates,"turkers=""implicates"""
5,7,overdependent,constrained,"turkers=""constrained"""
5,7,probes,investigate,"turkers=""probes"""
7,7,time,mimic,"turkers=""time"""
7,7,entrails,chicken entrails,"turkers=""entrails"""
4,7,games,choice,"turkers=""games"""
6,7,the,essential,"turkers=""the"""
6,7,faulting,earthquake,"turkers=""earthquake"""
7,7,video-recorded,video,"turkers=""video"""
6,7,obfuscate,constrained,"turkers=""constrained"""
6,7,worrying,worrisome,"turkers=""worrying"""
4,7,homeless,earthquake,"turkers=""homeless"""
5,7,to,formulated,"turkers=""to"""
6,7,time,thought,"turkers=""time"""
5,7,irritates,disturbs,"turkers=""disturbs"""
4,7,untouched,unswayed,"turkers=""untouched"""
7,7,economic,capitalistic,"turkers=""economic"""
6,7,measurement,determinations,"turkers=""measurement"""
7,7,pens highlighters,markers,"turkers=""markers"""
7,7,surface transportation program,grants,"turkers=""grants"""
6,7,strained,constrained,"turkers=""strained"""
7,7,quality,choice,"turkers=""choice"""
4,7,implicates,exposes,"turkers=""exposes"""
5,7,implicates,categorize,"turkers=""categorize"""
4,7,contents,conclusion,"turkers=""contents"""
6,7,elucidation,elaboration,"turkers=""elaboration"""
6,7,implemented,formulated,"turkers=""formulated"""
7,7,wave,reckon,"turkers=""wave"""
7,7,indicate,implicates,"turkers=""indicate"""
6,7,odd,kind,"turkers=""kind"""
6,7,lower,empowered,"turkers=""lower"""
4,7,standard,agreement,"turkers=""agreement"""
7,7,formulated,excoriated,"turkers=""formulated"""
4,7,reflexion,expressions,"turkers=""expressions"""
6,7,providing,professing,"turkers=""providing"""
4,7,requirement,mandatory,"turkers=""mandatory"""
3,7,necessary,essential,"turkers=""NA"""
4,7,probe,investigate,"turkers=""investigate"""
7,7,inferences,conclusion,"turkers=""conclusion"""
7,7,wave,duality,"turkers=""wave"""
4,7,prefer,choice,"turkers=""choice"""
7,7,thought,liked,"turkers=""liked"""
5,7,undersupplied,constrained,"turkers=""constrained"""
6,7,american,'s,"turkers=""american"""
7,7,requirement,limits,"turkers=""limits"""
6,7,determinations,dealings,"turkers=""dealings"""
5,7,markers,maker,"turkers=""maker"""
4,7,investigate,inquiry,"turkers=""investigate"""
6,7,apartheid,anti apartheid,"turkers=""apartheid"""
4,7,requirement,re quirements,"turkers=""NA"""
7,7,expressions,exaggerated facial expressions,"turkers=""expressions"""
6,7,unparalleled,unmatched,"turkers=""unmatched"""
3,7,environmental,economic,"turkers=""environmental"""
7,7,synthesize,compose,"turkers=""compose"""
6,7,formulated,develop,"turkers=""develop"""
6,7,rewrite,formulated,"turkers=""rewrite"""
6,7,economic,communist,"turkers=""economic"""
5,7,fleeing,escape,"turkers=""escape"""
6,7,penetrative,keen,"turkers=""keen"""
5,7,expressions,exclamations,"turkers=""expressions"""
6,7,develop,complement,"turkers=""develop"""
7,7,thought,cerebration,"turkers=""thought"""
6,7,grants,champlin foundations,"turkers=""grants"""
7,7,enforced,codified,"turkers=""enforced"""
5,7,unsettling,odd,"turkers=""odd"""
7,7,choice,choice,"turkers=""NA"""
7,7,limited,constrained,"turkers=""limited"""
4,7,necessity,essential,"turkers=""essential"""
7,7,says,expressions,"turkers=""says"""
7,7,wave,undulations,"turkers=""wave"""
7,7,standard,ansi z###.#,"turkers=""standard"""
4,7,severely impacted,constrained,"turkers=""constrained"""
5,7,rude,insulting,"turkers=""rude"""
3,7,unprecedented,unparalleled,"turkers=""unprecedented"""
3,7,keen,dandy,"turkers=""keen"""
6,7,formulated,finalize,"turkers=""finalize"""
6,7,objection,determinations,"turkers=""objection"""
6,7,sticking,projecting,"turkers=""sticking"""
6,7,indicate,formulated,"turkers=""indicate"""
6,7,nation,entity,"turkers=""nation"""
7,7,rocket,arugula,"turkers=""rocket"""
4,7,determination,conclusion,"turkers=""conclusion"""
6,7,vexed,disturbs,"turkers=""disturbs"""
7,7,internecine strife,instability,"turkers=""instability"""
3,7,requirement,ingredient,"turkers=""ingredient"""
5,7,hypothesis,causal inference,"turkers=""hypothesis"""
7,7,spala poland,rehabilitation,"turkers=""rehabilitation"""
6,7,help,complement,"turkers=""help"""
3,7,recite,compose,"turkers=""recite"""
6,7,constrained,be,"turkers=""be"""
7,7,good naturedness,genuine,"turkers=""genuine"""
5,7,formulated,formed,"turkers=""formed"""
5,7,sticking,depositing,"turkers=""sticking"""
7,7,rail,amtrak,"turkers=""rail"""
5,7,discourage,constrained,"turkers=""discourage"""
6,7,mooted,formulated,"turkers=""formulated"""
5,7,formulated,compute,"turkers=""compute"""
6,7,perfected,perfect,"turkers=""perfect"""
7,7,unlawful,illegitimate,"turkers=""unlawful"""
6,7,complete,complement,"turkers=""complete"""
6,7,facial expression,expressions,"turkers=""expressions"""
6,7,the,accessibility,"turkers=""the"""
4,7,expressions,devices,"turkers=""devices"""
5,7,entity,entites,"turkers=""entity"""
7,7,tia eia,standard,"turkers=""standard"""
4,7,meld,complement,"turkers=""meld"""
3,7,negotiate,formulated,"turkers=""negotiate"""
7,7,essential,basic,"turkers=""basic"""
5,7,penetrating,keen,"turkers=""keen"""
6,7,earthquake,aftershock,"turkers=""earthquake"""
7,7,report,professing,"turkers=""report"""
7,7,entity,different,"turkers=""different"""
5,7,formulated,enact,"turkers=""enact"""
3,7,worrisome,troublesome,"turkers=""troublesome"""
4,7,thought,mean,"turkers=""mean"""
5,7,formulated,finetuned,"turkers=""finetuned"""
5,7,determinations de novo,determinations,"turkers=""determinations"""
3,7,perfected,ingenious,"turkers=""perfected"""
4,7,implicates,discredits,"turkers=""implicates"""
5,7,the,requirement,"turkers=""the"""
3,7,unlawful,outlawed,"turkers=""unlawful"""
5,7,requirement,commitment,"turkers=""requirement"""
4,7,requirement,reporting,"turkers=""reporting"""
4,7,requirement,purpose,"turkers=""purpose"""
5,7,driven,'s,"turkers=""driven"""
7,7,one,complement,"turkers=""one"""
6,7,reason,determinations,"turkers=""reason"""
3,7,essential,elements,"turkers=""NA"""
5,7,requisite,essential,"turkers=""essential"""
7,7,empowered,constitutionally empowered,"turkers=""empowered"""
4,7,resting,removing,"turkers=""resting"""
5,7,imbalances,difference,"turkers=""difference"""
6,7,endowed,empowered,"turkers=""empowered"""
5,7,personality,entity,"turkers=""personality"""
7,7,select,compose,"turkers=""select"""
7,7,requirement,eligibility requirements,"turkers=""requirement"""
6,7,unencumbered,constrained,"turkers=""constrained"""
3,7,thought,remember,"turkers=""thought"""
6,7,choice,awards,"turkers=""choice"""
3,7,dictated,constrained,"turkers=""constrained"""
7,7,the,apartheid,"turkers=""the"""
3,7,requirement,arrangement,"turkers=""requirement"""
6,7,scheduled,list,"turkers=""list"""
7,7,touchstone,standard,"turkers=""standard"""
5,7,prime,choice,"turkers=""choice"""
5,7,upset,disturbs,"turkers=""upset"""
5,7,meanings,expressions,"turkers=""meanings"""
5,7,speeded,slowed,"turkers=""slowed"""
4,7,holder,bearer,"turkers=""holder"""
3,7,escort,complement,"turkers=""complement"""
7,7,thought,philosophy,"turkers=""thought"""
5,7,hindered,constrained,"turkers=""hindered"""
4,7,determinations,determination,"turkers=""determination"""
6,7,reworks,borrows,"turkers=""borrows"""
4,7,interrupt,disturbs,"turkers=""interrupt"""
3,7,reigning,pregnanting,"turkers=""pregnanting"""
7,7,crossbreeding,breeding,"turkers=""breeding"""
7,7,prompt,empowered,"turkers=""prompt"""
3,7,requirement,measurement,"turkers=""requirement"""
4,7,requirement,directive,"turkers=""requirement"""
4,7,requirement,circumstances,"turkers=""requirement"""
7,7,earthquake,aftershock jolted,"turkers=""earthquake"""
4,7,odd,left,"turkers=""left"""
4,7,taints,implicates,"turkers=""implicates"""
6,7,lancinate,keen,"turkers=""keen"""
3,7,motivated,driven,"turkers=""NA"""
6,7,descending,condescending,"turkers=""descending"""
3,7,financial,economic,"turkers=""financial"""
5,7,indesign,ibm,"turkers=""indesign"""
7,7,sticking,nonpluing,"turkers=""sticking"""
6,7,drastically curtailed,constrained,"turkers=""constrained"""
6,7,urination,thought,"turkers=""thought"""
6,7,verbatim,expressions,"turkers=""expressions"""
4,7,strengthen,complement,"turkers=""strengthen"""
6,7,magnitude,earthquake,"turkers=""earthquake"""
6,7,honest,genuine,"turkers=""honest"""
4,7,presentation,expressions,"turkers=""expressions"""
6,7,slowed,it,"turkers=""it"""
4,7,broadening,broaden,"turkers=""broaden"""
7,7,fertilitying,breeding,"turkers=""breeding"""
7,7,pleasing,me,"turkers=""me"""
5,7,handing,accessibility,"turkers=""handing"""
6,7,wehrmacht deserters,rehabilitation,"turkers=""rehabilitation"""
7,7,supposition,conclusion,"turkers=""conclusion"""
7,7,rail,intercity rail,"turkers=""rail"""
6,7,odd,bizarre,"turkers=""odd"""
4,7,stipulate,implicates,"turkers=""NA"""
3,7,conclusion,climax,"turkers=""climax"""
5,7,limitations,constrained,"turkers=""limitations"""
4,7,untouched,unaffected,"turkers=""untouched"""
6,7,sticking,adhering,"turkers=""sticking"""
5,7,formulated,conceived,"turkers=""formulated"""
7,7,upper extremity prosthetic,rehabilitation,"turkers=""rehabilitation"""
6,7,notifying,information,"turkers=""information"""
5,7,uncertainty,skittishness,"turkers=""uncertainty"""
6,7,subdue,escape,"turkers=""escape"""
4,7,written,thought,"turkers=""written"""
7,7,crescendo,conclusion,"turkers=""conclusion"""
7,7,consensuses,conclusion,"turkers=""conclusion"""
3,7,virtuoso,codified,"turkers=""codified"""
3,7,constricting,constrained,"turkers=""NA"""
6,7,squirrel,hypothesis,"turkers=""squirrel"""
7,7,onegeorgia,grants,"turkers=""grants"""
4,7,find,conclusion,"turkers=""find"""
4,7,inscription,expressions,"turkers=""expressions"""
6,7,sympathetic,likable,"turkers=""likable"""
7,7,opting,choice,"turkers=""choice"""
4,7,so,odd,"turkers=""so"""
5,7,letdown,disappointment,"turkers=""letdown"""
3,7,implicates,entails,"turkers=""entails"""
5,7,natural,born,"turkers=""born"""
6,7,paramount importance,essential,"turkers=""essential"""
6,7,mind,determinations,"turkers=""mind"""
5,7,pinpoint,notifying,"turkers=""pinpoint"""
3,7,uncertainty,uncertainties,"turkers=""NA"""
7,7,quasi judicial powers,empowered,"turkers=""empowered"""
4,7,section,conclusion,"turkers=""conclusion"""
7,7,narrow,constrained,"turkers=""narrow"""
3,7,finale,conclusion,"turkers=""finale"""
7,7,wheelchairs walkers crutches,wheelchairs,"turkers=""wheelchairs"""
6,7,requirement,mandating,"turkers=""requirement"""
6,7,implicates,attribute,"turkers=""attribute"""
4,7,still,resting,"turkers=""still"""
6,7,the,pacific,"turkers=""the"""
3,7,implicates,contemplate,"turkers=""contemplate"""
7,7,conclusion,conclusion,"turkers=""NA"""
6,7,implicates,corroborates,"turkers=""implicates"""
7,7,wave,undulate,"turkers=""wave"""
7,7,sticking,getting,"turkers=""getting"""
5,7,scheduled,exact dates,"turkers=""scheduled"""
6,7,requirement,formalities,"turkers=""requirement"""
5,7,thought,recall,"turkers=""thought"""
5,7,disturbs,bother,"turkers=""bother"""
4,7,specification,expressions,"turkers=""specification"""
7,7,asthetics,accessibility,"turkers=""accessibility"""
5,7,to,complement,"turkers=""to"""
6,7,the,expressions,"turkers=""the"""
5,7,expressions,assertion,"turkers=""expressions"""
6,7,second,complement,"turkers=""second"""
7,7,eligibility determinations,determinations,"turkers=""determinations"""
4,7,standard,measure,"turkers=""measure"""
5,7,steap,grants,"turkers=""grants"""
6,7,conclusion,assertions,"turkers=""conclusion"""
6,7,wif,thurs,"turkers=""thurs"""
5,7,outpourings,expressions,"turkers=""expressions"""
4,7,freeing,breeding,"turkers=""freeing"""
4,7,firewall-friendly,encrypted,"turkers=""firewall-friendly"""
4,7,requirement,principle,"turkers=""NA"""
5,7,sole arbiters,empowered,"turkers=""empowered"""
6,7,likable,dislikable,"turkers=""likable"""
6,7,reality,entity,"turkers=""reality"""
7,7,vituperate,rail,"turkers=""rail"""
6,7,intergovernmental,economic,"turkers=""economic"""
4,7,proclamation,expressions,"turkers=""expressions"""
6,7,mobility,accessibility,"turkers=""mobility"""
7,7,izmit,earthquake,"turkers=""earthquake"""
4,7,edition,edit,"turkers=""edit"""
6,7,thought,spine,"turkers=""thought"""
7,7,formulated,create,"turkers=""create"""
6,7,invite,compose,"turkers=""invite"""
7,7,hinder,constrained,"turkers=""hinder"""
5,7,battleground,battlefields,"turkers=""NA"""
4,7,pinned,entertain,"turkers=""entertain"""
6,7,hypothesis,guns,"turkers=""guns"""
4,7,sticking,pointing,"turkers=""pointing"""
4,7,seems,earthquake,"turkers=""seems"""
7,7,perfected,one,"turkers=""one"""
7,7,sticking,pick,"turkers=""pick"""
4,7,sticking,puzzling,"turkers=""sticking"""
7,7,sticking,catch,"turkers=""catch"""
3,7,reflections,expressions,"turkers=""reflections"""
6,7,standard,live,"turkers=""live"""
3,7,contraints,constrained,"turkers=""NA"""
3,7,constitutionalized,codified,"turkers=""codified"""
5,7,overload,clot,"turkers=""clot"""
6,7,slowed,outpaced,"turkers=""slowed"""
7,7,complement,belong,"turkers=""belong"""
3,7,enraged,alarmed,"turkers=""enraged"""
5,7,system,efficient,"turkers=""system"""
7,7,driven,accentuated,"turkers=""driven"""
5,7,investigate,examining,"turkers=""investigate"""
4,7,contend,complement,"turkers=""contend"""
7,7,grants,conceded,"turkers=""grants"""
5,7,very,keen,"turkers=""very"""
3,7,frustration,disappointment,"turkers=""frustration"""
6,7,scheduled,held,"turkers=""held"""
7,7,escape,dormice,"turkers=""escape"""
4,7,integral part,essential,"turkers=""essential"""
7,7,requirement,mandated,"turkers=""requirement"""
6,7,suggest,formulated,"turkers=""suggest"""
7,7,finish,conclusion,"turkers=""finish"""
5,7,grants,assignment,"turkers=""assignment"""
6,7,terms,requirement,"turkers=""terms"""
4,7,speculate,implicates,"turkers=""speculate"""
3,7,walkability,accessibility,"turkers=""walkability"""
7,7,prove,professing,"turkers=""prove"""
6,7,transcribe,compose,"turkers=""compose"""
6,7,disagreement,determinations,"turkers=""disagreement"""
5,7,us,prayed,"turkers=""us"""
4,7,necessitate,constrained,"turkers=""constrained"""
5,7,meshes,complement,"turkers=""complement"""
7,7,skyrocket,rocket,"turkers=""rocket"""
4,7,wrapped,pinned,"turkers=""wrapped"""
7,7,uncertainty,geopolitical uncertainty,"turkers=""uncertainty"""
6,7,apartheid era,apartheid,"turkers=""apartheid"""
7,7,unusual,odd,"turkers=""odd"""
4,7,terrier,breeding,"turkers=""breeding"""
7,7,hitler,hitler,"turkers=""NA"""
5,7,precaution,determinations,"turkers=""precaution"""
6,7,complement,add,"turkers=""add"""
7,7,genuine,genuine,"turkers=""NA"""
7,7,standard,fundamental,"turkers=""standard"""
4,7,requirement,guidelines,"turkers=""requirement"""
5,7,formulated,forge,"turkers=""forge"""
5,7,entity,both,"turkers=""both"""
6,7,accessibility,access,"turkers=""access"""
6,7,thought,think,"turkers=""think"""
7,7,disturbs,aggravates,"turkers=""disturbs"""
6,7,strengthening,broadening,"turkers=""strengthening"""
7,7,complement,anquan boldin donte stallworth,"turkers=""complement"""
3,7,implicates,casts doubt,"turkers=""casts doubt"""
4,7,scheduled,canceled,"turkers=""canceled"""
7,7,ideally complements,complement,"turkers=""complement"""
6,7,oppose,compose,"turkers=""oppose"""
7,7,regime,apartheid,"turkers=""regime"""
7,7,missing,boycotting,"turkers=""missing"""
3,7,inhibit,constrained,"turkers=""inhibit"""
7,7,panchayati raj institutions,empowered,"turkers=""empowered"""
7,7,empowered,connect,"turkers=""connect"""
5,7,somebody,individual,"turkers=""somebody"""
6,7,empowered,disempowers,"turkers=""empowered"""
5,7,tumbler,earthquake,"turkers=""earthquake"""
5,7,mimic,imitate,"turkers=""imitate"""
5,7,pleasing,help,"turkers=""help"""
6,7,preparation,formulated,"turkers=""preparation"""
7,7,recollection,recall,"turkers=""recall"""
7,7,esquire magazine hagel,edition,"turkers=""edition"""
